align_results_201904222126.csvid,nama
509,GUMPANG
510,KUTE GEKHAT
511,PAYE KHAMBUNG
512,MBAK SAKO
513,DARUL IMAMI
514,RIKIT BUR II
515,KUTE EMPAT LIMA
517,SIMPANG SEMADAM
518,SEMADAM AWAL
519,SEMADAM ASAL
520,LAWE KINGA GABUNGAN
521,LAWE KINGA TEBING TINGGI
522,KEBUN SERE
523,LAWE BERINGIN HORAS
524,LAWE BERINGIN GAYO
525,SUKA MAKMUR
526,PASAR PUNTUNG
527,TITI PASIR
528,LAWE PETANDUK
529,NGKERAN ALUR BULUH
530,KAMPUNG BARU
531,SEPAKAT SEGENAP
532,SELAMAT INDAH
533,LAWE KINGA LAPTER
534,LAWE MEJILAI
535,LAWE PETANDUK-I
537,TITI MAS
538,MERANTI
539,KUTE LANG-LANG
540,LAWE SUMUR
541,PARDAMEAN
542,SALIM PIPIT
543,PENGUHAPAN
544,LUMBAN TUA
545,MUTIARA DAMAI
546,DOLOK NAULI
547,TUHI JONGKAT
548,UNING SIGUGUR
549,LUMBAN SITIO TIO
550,LAWE MALUM
551,ALUR BANING
552,LINGGE ALAS
553,KHAMBUNG TUBUNG
554,TUAH MESADE
555,SUMUKH ALAS
556,ALUKH BAKHU
557,SEPEKHINDING
558,TANOH SUBUKH
559,PINGGAN MBELANG
560,SIGAI INDAH
561,UKEKH DELENG
562,ALAS MESIKHAT
563,TITE HAKHAPEN
565,AUNAN SEPAKAT
566,LAWE PENANGGALAN
567,LAWE MENGKUDU
568,JAMBUR LAK-LAK
569,SIMPANG TIGA JONGAR
570,JONGAR ASLI
571,KETAMBE
572,RUMAH BUNDAR
573,PENYEB. CINGKAM
574,DELENG DAMAR
575,BINTANG BENER
576,SUKA RIMBUN
577,LAWE AUNEN
578,BENER BEPAPAH
579,PENUNGKENEN
580,DATUK PINING
581,KATI MAJU
582,LEUSER
583,JATI SARA
584,BUKIT MBAKHU
585,KAYU MENTANGUR
586,LAWE SEMBEKAN
587,LAWE BEKHINGIN
588,LAWE GER-GER
589,SIMPUR JAYA
591,SALANG BARU
592,RANTO DIOR
593,LEMBAH ALAS
594,TENEMBAK LANG-LANG
595,SALANG SIGOTOM
596,TUALANG LAMA
597,GUSUNG BATU
598,KAYA PANGUR
599,SEPAKAT
600,LAWE PANGKAT
601,BUNGA MELUR
602,PENAMPAAN
603,TERUTUNG MBELANG
604,SALANG MUARA
605,LAWE HAKHUM
606,TANOH KHUKAHEN
607,TADING NIULIHI
608,PESELUK PESIMBE
609,KANE LOT
610,MUHAJIRIN
611,BERIRING NARU
612,KATI  JEROH
614,TERUTUNG MEGARA LAWE PASARAN
615,KISAM GABUNGAN
616,KISAM KUTE PASIR
617,LAWE SUMUR
618,LAWE SUMUR BARU
619,KUTA LESUNG
620,BERANDANG
621,KUTE BUNIN
622,BUAH PALA
623,PENOSAN
624,LAWE PASARAN TGK MBELIN
625,TERUTUNG MEGAKHE BAKHU
626,KISAM LESTARI
627,KISAM KUTE RAMBE
628,LAWE POLAK
629,LAWE SUMUR SEPAKAT
630,SETIA BARU
631,TEGER MIKO
633,SALIM PINIM
634,JAMBUR DAMAR
635,ALUR LANGSAT
636,RAMBAH SAYANG
637,RUMAH LUAR
638,TENEMBAK ALAS
639,LAWE TUNGKAL
640,SALIM PINIM II
641,JAMBUKH PEKHMATE
642,KHUTUNG MBELANG
643,TIMANG KHASE
644,STAMBUL JAYA
645,ALUKH NANGKE
646,KUTE MEJILE
648,BINTANG ALGA MUSARA
649,BUKIT BINTANG INDAH
650,TANJUNG SARI
651,BUNBUN ALAS
652,NAGA TIMBUL
653,GUNUNG PAK-PAK
654,BUKIT MEKHIAH
655,PERMATA MUSARA
656,LAWE TAWAR
657,KANE MENDE
658,LAWE SEKHAKUT
659,BUNBUN INDAH
660,SUKA DAMAI
661,TUAH KEKHINE
662,PUNCE NALI
663,SADE ATE
664,ARIH MEJILE
665,UKHAT PESELUK
666,TUNAS MUDE
667,GAYE SENDAH
668,KUTE HAKHAPEN
669,KOMPAS
670,SEPAKAT
673,ALUE LUDIN SA
674,ALUE LUDIN DUA
675,ALUE DALAM
676,DAMA PULO SA
677,DAMA PULO DUA
678,BUKET KULAM
679,SEUNEUBOK TEUNGOH
680,JUNGKA GAJAH
681,SEUNEUBOK SIMPANG
682,MATANG PINEUNG
683,LHOK GEULUMPANG
684,BLANG BUKET
685,MEUNASAH KEUTAPANG
686,BUKET RUMIA
687,ALUE GADENG
688,KAPAI BARO
689,SEUNEUBOK TUHA SA
690,SEUNEUBOK TUHA DUA
691,SEUNEUBOK BULOH
692,GASEH SAYANG
693,ALUE LHOK
694,TRIENG GADENG
695,GRONG-GRONG
696,MATANG GEUTOU
697,ALUE MERBO
698,BUKET RAYA
699,GAMPONG KEUDE
700,PEUKAN IDI CUT
701,GAMPONG BEUNOT
702,SEUNEUBOK BAROH
703,TEUPIN DRUM
704,KUALA IDI CUT
705,SEUNEUBOK ACEH
706,GAMPONG BARO
707,BAGOK PANAH SA
708,BAGOK PANAH DUA
709,BAGOK PANAH LHEE
710,BAGOK PANAH PEUT
711,BUKET TUALANG
712,KEMUNING SA
713,KEMUNING DUA
714,KEMUNING LHEE
715,KEMUNING PEUT
716,KEMUNING LIMONG
717,MEUNASAH BLANG
719,BLANG KEUMAHANG
720,BLANG JAMBEE
721,KEUMUNENG
722,LADANG BARO
723,BUKET PANYANG
724,SEUNEUBOK RAMBONG
725,SEUNEUBOK BARO
726,BLANG MIDEUN
727,PAYA BAKONG
728,TEUPIN RAYA
729,LHOK RAMBONG
730,JULOK TUNONG
731,ULEE ATEUNG
732,ULEE BLANG
733,LABUHAN
734,NALEUNG
735,MANE RAMPAK
736,MATANG
737,BLANG UYOK
738,BLANG PAUH SA
739,BLANG PAUH DUA
740,ULEE TANOH
741,KEUDE KUTA BINJEI
742,BUKET SEURAJA
743,KUALA GEULUMPANG
744,GAMPONG BARO
745,TUMPOK TEUNGOH
746,SEUMATANG
747,UJONG TUNONG
748,BUKIT DINDENG
749,PAYA PASI
750,ALUE CEK DOI
751,BLANG GLEUM
752,TANJONG TOK BLANG
753,BUKET MAKMU
754,LHOK SEUNTANG
755,SIMPANG LHEE
757,GAMPONG JAWA
758,KEUDE BLANG
759,TANOH ANOU
760,KUALA PEUDAWA PUNTONG
761,GAMPONG ACEH
762,KUTA BLANG
763,GAMPONG TANJONG
764,BLANG GEULUMPANG
765,MEUNASAH PU'UK
766,BANTAYAN TIMU
767,KEUTAPANG MAMEH
768,SEUNEUBOK RAMBONG
769,KUALA IDI
770,KEUDE ACEH
771,SEUNEUBOK BACEE
772,TITI BARO
773,TANJONG KAPAI
774,ALUE DUA MUKA O
775,ALUE DUA MUKA S
776,ULEE BLANG
777,BUKET JOK
778,BUKET MEULINTEUNG
779,GAMPONG JALAN
780,TEUPIN BATEE
781,BUKET LANGA
782,BUKET PALA
783,BUKET JUARA
784,SEUNEUBOK TUTONG
785,SEUNEUBOK TUHA
786,SAMPOIMAH
787,DAMA PULO
788,GUREB BLANG
789,GAMPONG BARO
790,SEUNEUBOK TEUNGOH PDW PUNTONG
791,KUTA LAWAH
793,JAMBO LABU
794,ALUE CANANG
795,ALUE DRIEN
796,BUKET TIGA
797,BENTENG
798,AFDELING II BUKIT
799,KEUMUNENG HULU
800,PEUTOW
